Model,Accuracy,Precision,Recall,F1_Score,False_Positive_Rate,TN,FP,FN,TP
Baseline Random Forest - Deduplicated,0.9999327610552031,0.9999609405515194,0.9999218841542007,0.9999414119714871,5.259282633848743e-05,19013,1,2,25601
Tuned Random Forest - Deduplicated,0.9998879350920052,0.9998828308076863,0.9999218841542007,0.9999023570996153,0.0001577784790154623,19011,3,2,25601
