Model,Accuracy,Precision,Recall,F1_Score,False_Positive_Rate,TN,FP,FN,TP
Baseline Random Forest,0.9998892408568327,0.9999609405515194,0.9998437805116188,0.9999023570996153,5.118231139318252e-05,19537,1,4,25601
Tuned Random Forest,0.9998227853709324,0.9998047408911626,0.9998828353837141,0.9998437866125127,0.00025591155696591257,19533,5,3,25602
