experiment,features_removed,missing_requested_features,features_used,accuracy,precision,recall,f1_score,false_positive_rate,true_negatives,false_positives,false_negatives,true_positives
A_all_features,None,None,78,0.9998892408568327,0.9999609405515194,0.9998437805116188,0.9999023570996153,5.118231139318252e-05,19537,1,4,25601
B_without_destination_port,Destination Port,None,77,0.9998006335422989,0.9998437744102484,0.9998047256395235,0.9998242496436174,0.00020472924557273008,19534,4,5,25600
C_without_port_and_tcp_window,Destination Port; Init_Win_bytes_forward; Init_Win_bytes_backward,None,75,0.9996677225704982,0.9997656433091164,0.9996485061511423,0.9997070712988458,0.0003070938683590951,19532,6,9,25596
D_without_top5_features,Destination Port; Max Packet Length; Init_Win_bytes_forward; Average Packet Size; Min Packet Length,None,73,0.999756329885032,0.9998047180128105,0.9997656707674283,0.9997851940088657,0.00025591155696591257,19533,5,6,25599
